,Season,DayNum,Team1,Team2,y,SeedNum1,SeedNum2,SeedDiff
195,2006,136,1181,1380,1,1,16,-15
196,2006,136,1196,1375,1,3,14,-11
197,2006,136,1203,1423,1,8,9,-1
198,2006,136,1211,1462,1,3,14,-11
199,2006,136,1102,1228,0,13,4,9
200,2006,136,1231,1361,1,6,11,-5
201,2006,136,1233,1261,0,13,4,9
202,2006,136,1285,1305,1,12,5,7
203,2006,136,1397,1457,1,2,15,-13
204,2006,136,1393,1401,0,5,12,-7
205,2006,136,1125,1417,0,15,2,13
206,2006,136,1429,1449,0,12,5,7
207,2006,136,1328,1454,0,6,11,-5
208,2006,136,1371,1455,0,10,7,3
209,2006,137,1112,1458,1,8,9,-1
210,2006,137,1133,1242,1,13,4,9
211,2006,137,1116,1137,0,8,9,-1
212,2006,137,1107,1163,0,16,1,15
213,2006,137,1206,1277,1,11,6,5
214,2006,137,1207,1320,1,7,10,-3
215,2006,137,1246,1412,1,8,9,-1
216,2006,137,1272,1331,1,1,16,-15
217,2006,137,1143,1301,0,7,10,-3
218,2006,137,1293,1314,0,14,3,11
219,2006,137,1234,1322,0,3,14,-11
220,2006,137,1172,1326,0,15,2,13
221,2006,137,1245,1338,0,12,5,7
222,2006,137,1335,1400,0,15,2,13
223,2006,137,1284,1437,0,16,1,15
224,2006,137,1356,1452,0,11,6,5
225,2006,138,1130,1285,1,4,12,-8
226,2006,138,1181,1203,1,1,8,-7
227,2006,138,1196,1454,1,3,11,-8
228,2006,138,1211,1231,1,3,6,-3
229,2006,138,1261,1401,1,4,12,-8
230,2006,138,1104,1417,0,10,2,8
231,2006,138,1228,1449,0,4,5,-1
232,2006,138,1397,1455,0,2,7,-5
233,2006,139,1133,1338,1,13,5,8
234,2006,139,1163,1246,1,1,8,-7
235,2006,139,1206,1314,1,11,3,8
236,2006,139,1207,1326,1,7,2,5
237,2006,139,1137,1272,0,9,1,8
238,2006,139,1301,1400,0,10,2,8
239,2006,139,1112,1437,0,8,1,7
240,2006,139,1322,1452,0,14,6,8
241,2006,143,1181,1261,0,1,4,-3
242,2006,143,1133,1272,0,13,1,12
243,2006,143,1400,1452,1,2,6,-4
244,2006,143,1211,1417,0,3,2,1
245,2006,144,1163,1449,1,1,5,-4
246,2006,144,1196,1207,1,3,7,-4
247,2006,144,1206,1455,1,11,7,4
248,2006,144,1130,1437,0,4,1,3
249,2006,145,1261,1400,1,4,2,2
250,2006,145,1272,1417,0,1,2,-1
251,2006,146,1196,1437,1,3,1,2
252,2006,146,1163,1206,0,1,11,-10
253,2006,152,1196,1206,1,3,11,-8
254,2006,152,1261,1417,0,4,2,2
255,2006,154,1196,1417,1,3,2,1
256,2007,134,1197,1310,0,16,16,0
257,2007,136,1130,1403,1,7,10,-3
258,2007,136,1139,1330,1,5,12,-7
259,2007,136,1125,1207,0,15,2,13
260,2007,136,1211,1231,0,10,7,3
261,2007,136,1257,1390,1,6,11,-5
262,2007,136,1172,1268,0,13,4,9
263,2007,136,1266,1277,0,8,9,-1
264,2007,136,1184,1314,0,16,1,15
265,2007,136,1148,1326,0,16,1,15
266,2007,136,1338,1460,1,3,14,-11
267,2007,136,1335,1401,0,14,3,11
268,2007,136,1417,1451,1,2,15,-13
269,2007,136,1181,1433,0,6,11,-5
270,2007,136,1203,1435,0,11,6,5
271,2007,136,1331,1450,0,14,3,11
272,2007,136,1140,1462,0,8,9,-1
273,2007,137,1196,1238,1,1,16,-15
274,2007,137,1242,1310,1,1,16,-15
275,2007,137,1246,1437,1,8,9,-1
276,2007,137,1272,1317,1,2,15,-13
277,2007,137,1166,1305,0,10,7,3
278,2007,137,1275,1332,0,14,3,11
279,2007,137,1112,1345,0,8,9,-1
280,2007,137,1221,1356,0,13,4,9
281,2007,137,1253,1397,0,12,5,7
282,2007,137,1308,1400,0,13,4,9
283,2007,137,1210,1424,0,10,7,3
284,2007,137,1116,1425,0,12,5,7
285,2007,137,1107,1438,0,13,4,9
286,2007,137,1228,1439,0,12,5,7
287,2007,137,1323,1457,0,6,11,-5
288,2007,137,1394,1458,0,15,2,13
289,2007,138,1139,1268,1,5,4,1
290,2007,138,1130,1207,0,7,2,5
291,2007,138,1277,1314,0,9,1,8
292,2007,138,1326,1462,1,1,9,-8
293,2007,138,1338,1433,1,3,11,-8
294,2007,138,1257,1401,0,6,3,3
295,2007,138,1231,1417,0,7,2,5
296,2007,138,1435,1450,1,6,3,3
297,2007,139,1196,1345,1,1,9,-8
298,2007,139,1242,1246,1,1,8,-7
299,2007,139,1272,1305,1,2,7,-5
300,2007,139,1332,1457,1,3,11,-8
301,2007,139,1356,1439,1,4,5,-1
302,2007,139,1397,1438,1,5,4,1
303,2007,139,1424,1458,1,7,2,5
304,2007,139,1400,1425,0,4,5,-1
305,2007,143,1242,1356,1,1,4,-3
306,2007,143,1272,1401,1,2,3,-1
307,2007,143,1326,1397,1,1,5,-4
308,2007,143,1338,1417,0,3,2,1
309,2007,144,1139,1196,0,5,1,4
310,2007,144,1207,1435,1,2,6,-4
311,2007,144,1314,1425,1,1,5,-4
312,2007,144,1332,1424,1,3,7,-4
313,2007,145,1272,1326,0,2,1,1
314,2007,145,1242,1417,0,1,2,-1
315,2007,146,1196,1332,1,1,3,-2
316,2007,146,1207,1314,1,2,1,1
317,2007,152,1196,1417,1,1,2,-1
318,2007,152,1207,1326,0,2,1,1
319,2007,154,1196,1326,1,1,1,0
320,2008,134,1164,1291,0,16,16,0
321,2008,136,1125,1181,0,15,2,13
322,2008,136,1242,1340,1,1,16,-15
323,2008,136,1243,1425,1,11,6,5
324,2008,136,1246,1266,0,11,6,5
325,2008,136,1277,1396,1,5,12,-7
326,2008,136,1206,1323,0,12,5,7
327,2008,136,1331,1338,0,13,4,9
328,2008,136,1124,1345,0,11,6,5
329,2008,136,1165,1390,0,14,3,11
330,2008,136,1140,1401,0,8,9,-1
331,2008,136,1290,1417,0,16,1,15
332,2008,136,1245,1424,0,9,8,1
333,2008,136,1450,1457,1,4,13,-9
334,2008,136,1112,1452,0,10,7,3
335,2008,136,1168,1458,0,14,3,11
336,2008,136,1208,1462,0,14,3,11
337,2008,137,1116,1231,1,9,8,1
338,2008,137,1139,1375,1,7,10,-3
339,2008,137,1172,1211,1,10,7,3
340,2008,137,1207,1420,1,2,15,-13
341,2008,137,1129,1257,0,14,3,11
342,2008,137,1272,1426,1,1,16,-15
343,2008,137,1274,1388,1,7,10,-3
344,2008,137,1280,1332,1,8,9,-1
345,2008,137,1291,1314,0,16,1,15
346,2008,137,1328,1386,1,6,11,-5
347,2008,137,1163,1360,0,4,13,-9
348,2008,137,1373,1435,1,13,4,9
349,2008,137,1110,1397,0,15,2,13
350,2008,137,1122,1400,0,15,2,13
351,2008,137,1155,1437,0,5,12,-7
352,2008,137,1179,1443,0,5,12,-7
353,2008,138,1242,1424,1,1,8,-7
354,2008,138,1277,1338,1,5,4,1
355,2008,138,1266,1390,0,6,3,3
356,2008,138,1401,1417,0,9,1,8
357,2008,138,1323,1450,0,5,4,1
358,2008,138,1181,1452,0,2,7,-5
359,2008,138,1243,1458,0,11,3,8
360,2008,138,1345,1462,0,6,3,3
361,2008,139,1172,1207,1,10,2,8
362,2008,139,1257,1328,1,3,6,-3
363,2008,139,1272,1280,1,1,8,-7
364,2008,139,1116,1314,0,9,1,8
365,2008,139,1139,1397,0,7,2,5
366,2008,139,1274,1400,0,7,2,5
367,2008,139,1373,1437,0,13,12,1
368,2008,139,1360,1443,0,13,12,1
369,2008,143,1257,1397,1,3,2,1
370,2008,143,1314,1450,1,1,4,-3
371,2008,143,1417,1443,1,1,12,-11
372,2008,143,1452,1462,0,7,3,4
373,2008,144,1172,1458,1,10,3,7
374,2008,144,1242,1437,1,1,12,-11
375,2008,144,1272,1277,1,1,5,-4
376,2008,144,1390,1400,0,3,2,1
377,2008,145,1257,1314,0,3,1,2
378,2008,145,1417,1462,1,1,3,-2
379,2008,146,1172,1242,0,10,1,9
380,2008,146,1272,1400,1,1,2,-1
381,2008,152,1242,1314,1,1,1,0
382,2008,152,1272,1417,1,1,1,0
383,2008,154,1242,1272,1,1,1,0
384,2009,134,1106,1287,0,16,16,0
385,2009,136,1151,1163,0,16,1,15
386,2009,136,1127,1181,0,15,2,13
387,2009,136,1103,1211,0,13,4,9
388,2009,136,1139,1261,0,9,8,1
389,2009,136,1143,1268,0,7,10,-3
390,2009,136,1169,1272,0,15,2,13
391,2009,136,1155,1276,0,7,10,-3
392,2009,136,1314,1347,1,1,16,-15
393,2009,136,1288,1328,0,15,2,13
394,2009,136,1320,1345,0,12,5,7
395,2009,136,1278,1400,0,10,7,3
396,2009,136,1140,1401,0,8,9,-1
397,2009,136,1417,1433,1,6,11,-5
398,2009,136,1110,1437,0,14,3,11
399,2009,136,1228,1443,0,5,12,-7
400,2009,136,1280,1449,0,13,4,9
401,2009,137,1112,1428,1,12,5,7
402,2009,137,1113,1396,1,6,11,-5
403,2009,137,1156,1448,1,13,4,9
404,2009,137,1173,1452,1,11,6,5
405,2009,137,1242,1295,1,3,14,-11
406,2009,137,1257,1287,1,1,16,-15
407,2009,137,1266,1429,1,6,11,-5
408,2009,137,1277,1352,1,2,15,-13
409,2009,137,1165,1281,0,14,3,11
410,2009,137,1329,1397,1,8,9,-1
411,2009,137,1190,1338,0,16,1,15
412,2009,137,1326,1373,0,8,9,-1
413,2009,137,1372,1393,0,14,3,11
414,2009,137,1130,1425,0,7,10,-3
415,2009,137,1199,1458,0,5,12,-7
416,2009,137,1340,1462,0,13,4,9
417,2009,138,1163,1401,1,1,9,-8
418,2009,138,1181,1400,1,2,7,-5
419,2009,138,1211,1443,1,4,12,-8
420,2009,138,1268,1272,0,10,2,8
421,2009,138,1261,1314,0,8,1,7
422,2009,138,1276,1328,0,10,2,8
423,2009,138,1345,1449,1,5,4,1
424,2009,138,1417,1437,0,6,3,3
425,2009,139,1112,1156,1,12,13,-1
426,2009,139,1173,1242,0,11,3,8
427,2009,139,1257,1373,1,1,9,-8
428,2009,139,1277,1425,1,2,10,-8
429,2009,139,1266,1281,0,6,3,3
430,2009,139,1329,1338,0,8,1,7
431,2009,139,1113,1393,0,6,3,3
432,2009,139,1458,1462,0,12,4,8
433,2009,143,1163,1345,1,1,5,-4
434,2009,143,1272,1281,0,2,3,-1
435,2009,143,1338,1462,1,1,4,-3
436,2009,143,1181,1437,0,2,3,-1
437,2009,144,1112,1257,0,12,1,11
438,2009,144,1242,1277,0,3,2,1
439,2009,144,1211,1314,0,4,1,3
440,2009,144,1328,1393,1,2,3,-1
441,2009,145,1163,1281,1,1,3,-2
442,2009,145,1338,1437,0,1,3,-2
443,2009,146,1257,1277,0,1,2,-1
444,2009,146,1314,1328,1,1,2,-1
445,2009,152,1163,1277,0,1,2,-1
446,2009,152,1314,1437,1,1,3,-2
447,2009,154,1277,1314,0,2,1,1
448,2010,134,1115,1457,1,16,16,0
449,2010,136,1124,1358,1,3,14,-11
450,2010,136,1139,1431,1,5,12,-7
451,2010,136,1140,1196,1,7,10,-3
452,2010,136,1242,1250,1,1,16,-15
453,2010,136,1243,1317,1,2,15,-13
454,2010,136,1190,1246,0,16,1,15
455,2010,136,1293,1435,1,13,4,9
456,2010,136,1285,1307,0,14,3,11
457,2010,136,1320,1424,1,9,8,1
458,2010,136,1207,1325,0,3,14,-11
459,2010,136,1323,1330,0,6,11,-5
460,2010,136,1350,1388,0,7,10,-3
461,2010,136,1361,1397,0,11,6,5
462,2010,136,1352,1437,0,15,2,13
463,2010,136,1400,1448,0,8,9,-1
464,2010,136,1266,1449,0,6,11,-5
465,2010,137,1143,1257,1,8,9,-1
466,2010,137,1165,1396,1,12,5,7
467,2010,137,1115,1181,0,16,1,15
468,2010,137,1210,1329,1,10,7,3
469,2010,137,1199,1211,0,9,8,1
470,2010,137,1222,1268,0,13,4,9
471,2010,137,1277,1308,1,5,12,-7
472,2010,137,1155,1281,0,7,10,-3
473,2010,137,1326,1364,1,2,15,-13
474,2010,137,1324,1338,0,14,3,11
475,2010,137,1345,1373,1,4,13,-9
476,2010,137,1393,1436,1,1,16,-15
477,2010,137,1401,1429,1,5,12,-7
478,2010,137,1288,1452,0,15,2,13
479,2010,137,1458,1459,1,4,13,-9
480,2010,137,1278,1462,0,11,6,5
481,2010,138,1124,1330,1,3,11,-8
482,2010,138,1139,1293,1,5,13,-8
483,2010,138,1140,1243,0,7,2,5
484,2010,138,1246,1448,1,1,9,-8
485,2010,138,1242,1320,0,1,9,-8
486,2010,138,1388,1437,1,10,2,8
487,2010,138,1325,1397,0,14,6,8
488,2010,138,1307,1449,0,3,11,-8
489,2010,139,1165,1458,1,12,4,8
490,2010,139,1143,1181,0,8,1,7
491,2010,139,1268,1277,0,4,5,-1
492,2010,139,1210,1326,0,10,2,8
493,2010,139,1345,1401,1,4,5,-1
494,2010,139,1211,1393,0,8,1,7
495,2010,139,1281,1452,0,10,2,8
496,2010,139,1338,1462,0,3,6,-3
497,2010,143,1139,1393,1,5,1,4
498,2010,143,1243,1462,1,2,6,-4
499,2010,143,1165,1246,0,12,1,11
500,2010,143,1449,1452,0,11,2,9
501,2010,144,1124,1388,1,3,10,-7
502,2010,144,1181,1345,1,1,4,-3
503,2010,144,1277,1320,1,5,9,-4
504,2010,144,1326,1397,0,2,6,-4
505,2010,145,1139,1243,1,5,2,3
506,2010,145,1246,1452,0,1,2,-1
507,2010,146,1124,1181,0,3,1,2
508,2010,146,1277,1397,1,5,6,-1
509,2010,152,1139,1277,1,5,5,0
510,2010,152,1181,1452,1,1,2,-1
511,2010,154,1139,1181,0,5,1,4
512,2011,134,1155,1412,1,12,12,0
513,2011,134,1114,1421,0,16,16,0
514,2011,135,1106,1427,0,16,16,0
515,2011,135,1425,1433,0,11,11,0
516,2011,136,1139,1330,1,8,9,-1
517,2011,136,1140,1459,1,3,14,-11
518,2011,136,1153,1281,1,6,11,-5
519,2011,136,1137,1163,0,14,3,11
520,2011,136,1196,1364,1,2,15,-13
521,2011,136,1211,1385,1,11,6,5
522,2011,136,1243,1429,1,5,12,-7
523,2011,136,1246,1343,1,4,13,-9
524,2011,136,1257,1287,0,4,13,-9
525,2011,136,1338,1421,1,1,16,-15
526,2011,136,1350,1435,1,12,5,7
527,2011,136,1294,1361,0,15,2,13
528,2011,136,1336,1396,0,10,7,3
529,2011,136,1277,1417,0,10,7,3
530,2011,136,1155,1452,0,12,5,7
531,2011,136,1125,1458,0,13,4,9
532,2011,137,1112,1272,1,5,12,-7
533,2011,137,1181,1214,1,1,16,-15
534,2011,137,1199,1401,1,10,7,3
535,2011,137,1206,1437,1,8,9,-1
536,2011,137,1228,1424,1,9,8,1
537,2011,137,1131,1242,0,16,1,15
538,2011,137,1266,1462,1,11,6,5
539,2011,137,1276,1397,1,8,9,-1
540,2011,137,1254,1314,0,15,2,13
541,2011,137,1103,1323,0,15,2,13
542,2011,137,1326,1427,1,1,16,-15
543,2011,137,1345,1389,1,3,14,-11
544,2011,137,1232,1393,0,14,3,11
545,2011,137,1324,1400,0,13,4,9
546,2011,137,1207,1433,0,6,11,-5
547,2011,137,1208,1449,0,10,7,3
548,2011,138,1139,1338,1,8,1,7
549,2011,138,1140,1211,1,3,11,-8
550,2011,138,1153,1163,0,6,3,3
551,2011,138,1196,1417,1,2,7,-5
552,2011,138,1246,1452,1,4,5,-1
553,2011,138,1287,1350,0,13,12,1
554,2011,138,1361,1396,1,2,7,-5
555,2011,138,1243,1458,0,5,4,1
556,2011,139,1112,1400,1,5,4,1
557,2011,139,1181,1276,1,1,8,-7
558,2011,139,1199,1323,1,10,2,8
559,2011,139,1228,1242,0,9,1,8
560,2011,139,1266,1393,1,11,3,8
561,2011,139,1314,1449,1,2,7,-5
562,2011,139,1206,1326,0,8,1,7
563,2011,139,1345,1433,0,3,11,-8
564,2011,143,1112,1181,1,5,1,4
565,2011,143,1139,1458,1,8,4,4
566,2011,143,1163,1361,1,3,2,1
567,2011,143,1140,1196,0,3,2,1
568,2011,144,1242,1350,1,1,12,-11
569,2011,144,1246,1326,1,4,1,3
570,2011,144,1266,1314,0,11,2,9
571,2011,144,1199,1433,0,10,11,-1
572,2011,145,1139,1196,1,8,2,6
573,2011,145,1112,1163,0,5,3,2
574,2011,146,1246,1314,1,4,2,2
575,2011,146,1242,1433,0,1,11,-10
576,2011,152,1139,1433,1,8,11,-3
577,2011,152,1163,1246,1,3,4,-1
578,2011,154,1139,1163,0,8,3,5
579,2012,134,1140,1233,1,14,14,0
580,2012,134,1290,1443,0,16,16,0
581,2012,135,1143,1378,0,12,12,0
582,2012,135,1249,1436,0,16,16,0
583,2012,136,1124,1355,1,3,14,-11
584,2012,136,1160,1424,1,11,6,5
585,2012,136,1211,1452,1,7,10,-3
586,2012,136,1231,1308,1,4,13,-9
587,2012,136,1163,1235,0,9,8,1
588,2012,136,1243,1379,1,8,9,-1
589,2012,136,1246,1443,1,1,16,-15
590,2012,136,1172,1257,0,13,4,9
591,2012,136,1140,1266,0,14,3,11
592,2012,136,1161,1293,0,11,6,5
593,2012,136,1253,1307,0,12,5,7
594,2012,136,1259,1326,0,15,2,13
595,2012,136,1393,1421,1,1,16,-15
596,2012,136,1433,1455,1,12,5,7
597,2012,136,1217,1435,0,12,5,7
598,2012,136,1285,1458,0,13,4,9
599,2012,137,1153,1400,1,6,11,-5
600,2012,137,1104,1166,0,9,8,1
601,2012,137,1196,1438,1,7,10,-3
602,2012,137,1199,1382,1,3,14,-11
603,2012,137,1125,1207,0,14,3,11
604,2012,137,1178,1242,0,15,2,13
605,2012,137,1181,1250,0,2,15,-13
606,2012,137,1254,1277,0,16,1,15
607,2012,137,1301,1361,1,11,6,5
608,2012,137,1281,1313,0,2,15,-13
609,2012,137,1314,1436,1,1,16,-15
610,2012,137,1276,1325,0,4,13,-9
611,2012,137,1345,1388,1,10,7,3
612,2012,137,1378,1396,1,12,5,7
613,2012,137,1272,1387,0,8,9,-1
614,2012,137,1323,1462,0,7,10,-3
615,2012,138,1124,1160,1,3,11,-8
616,2012,138,1231,1433,1,4,12,-8
617,2012,138,1235,1246,0,8,1,7
618,2012,138,1257,1307,1,4,5,-1
619,2012,138,1266,1293,1,3,6,-3
620,2012,138,1211,1326,0,7,2,5
621,2012,138,1243,1393,0,8,1,7
622,2012,138,1435,1458,0,5,4,1
623,2012,139,1153,1199,1,6,3,3
624,2012,139,1196,1313,1,7,15,-8
625,2012,139,1242,1345,1,2,10,-8
626,2012,139,1277,1387,1,1,9,-8
627,2012,139,1207,1301,0,3,11,-8
628,2012,139,1166,1314,0,8,1,7
629,2012,139,1325,1378,1,13,12,1
630,2012,139,1250,1462,0,15,10,5
631,2012,143,1196,1266,1,7,3,4
632,2012,143,1257,1277,1,4,1,3
633,2012,143,1153,1326,0,6,2,4
634,2012,143,1393,1458,1,1,4,-3
635,2012,144,1124,1462,1,3,10,-7
636,2012,144,1242,1301,1,2,11,-9
637,2012,144,1231,1246,0,4,1,3
638,2012,144,1314,1325,1,1,13,-12
639,2012,145,1196,1257,0,7,4,3
640,2012,145,1326,1393,1,2,1,1
641,2012,146,1242,1314,1,2,1,1
642,2012,146,1124,1246,0,3,1,2
643,2012,152,1242,1326,1,2,2,0
644,2012,152,1246,1257,1,1,4,-3
645,2012,154,1242,1246,0,2,1,1
646,2013,134,1251,1299,0,16,16,0
647,2013,134,1292,1388,0,11,11,0
